code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,fbref,understat,transfermarkt
819,Ishé,Samuels-Smith,Samuels-Smith,,,,,,,,819,,,,
820,Ollie,Harrison,Harrison,,,,,,,,820,,,,
830,Jimi,Tauriainen,Tauriainen,,,,,,,,830,,,,
838,Josh,Acheampong,Acheampong,,,,,,,,838,,,,
847,Teddy,Sharman-Lowe,Sharman-Lowe,,,,,,,,847,,,,
851,Tyrique,George,George,,,,,,,,851,,,,
852,Kiano,Dyer,Dyer,,,,,,,,852,,,,
858,Ted,Curd,Curd,,,,,,,,858,,,,
859,Zak,Sturge,Sturge,,,,,,,,859,,,,
7,Rob,Holding,Holding,,,,,,,,7,,,,
219,Naouirou,Ahamada,Ahamada,,,,,,,,219,,,,
220,Joachim,Andersen,Andersen,,,,,,,,220,,,,
221,Jordan,Ayew,Ayew,,,,,,,,221,,,,
222,Nathaniel,Clyne,Clyne,,,,,,,,222,,,,
223,Cheick,Doucouré,Doucouré,,,,,,,,223,,,,
224,Malcolm,Ebiowei,Ebiowei,,,,,,,,224,,,,
225,Odsonne,Edouard,Edouard,,,,,,,,225,,,,
226,Eberechi,Eze,Eze,,,,,,,,226,,,,
227,Vicente,Guaita,Guaita,,,,,,,,227,,,,
228,Marc,Guéhi,Guéhi,,,,,,,,228,,,,
229,Will,Hughes,Hughes,,,,,,,,229,,,,
230,Sam,Johnstone,Johnstone,,,,,,,,230,,,,
231,Jefferson,Lerma Solís,Lerma Solís,,,,,,,,231,,,,
232,Jean-Philippe,Mateta,Mateta,,,,,,,,232,,,,
233,Remi,Matthews,Matthews,,,,,,,,233,,,,
234,Tyrick,Mitchell,Mitchell,,,,,,,,234,,,,
235,Jake,O'Brien,O'Brien,,,,,,,,235,,,,
236,Michael,Olise,Olise,,,,,,,,236,,,,
237,Luke,Plange,Plange,,,,,,,,237,,,,
238,Chris,Richards,Richards,,,,,,,,238,,,,
239,Jairo,Riedewald,Riedewald,,,,,,,,239,,,,
240,Jeffrey,Schlupp,Schlupp,,,,,,,,240,,,,
241,James,Tomkins,Tomkins,,,,,,,,241,,,,
242,Joel,Ward,Ward,,,,,,,,242,,,,
243,Joe,Whitworth,Whitworth,,,,,,,,243,,,,
385,Dean,Henderson,Henderson,,,,,,,,385,,,,
615,Matheus,França de Oliveira,França de Oliveira,,,,,,,,615,,,,
657,Jesurun,Rak-Sakyi,Rak-Sakyi,,,,,,,,657,,,,
658,John-Kymani,Gordon,Gordon,,,,,,,,658,,,,
720,Ademola,Ola-Adebomi,Ola-Adebomi,,,,,,,,720,,,,
721,David,Ozoh,Ozoh,,,,,,,,721,,,,
